Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,12593,2022-10-27,0.0836770546,-0.016330667,-0.015976045,21,100
Market-Adjusted Model,12615,2022-10-27,0.3394342576,0.2185085239,0.2397811575,21,100
Market-Adjusted Model,12621,2022-10-27,0.0634358562,-0.031731804,-0.036217244,21,100
Market-Adjusted Model,12622,2022-10-27,0.1097810084,0.0139734224,0.0101279083,21,100
Market-Adjusted Model,12623,2022-10-27,0.0770622013,-0.020939926,-0.022590899,21,100
Market-Adjusted Model,12625,2022-10-27,0.118640513,0.0150997359,0.0189874129,21,100
Market-Adjusted Model,12628,2022-10-27,0.0152596216,-0.069836541,-0.084393478,21,100
Market-Adjusted Model,12629,2022-10-27,-0.064039375,-0.156865084,-0.163692475,21,100
Market-Adjusted Model,12631,2022-10-27,0.0331890925,-0.066358933,-0.066464008,21,100
Market-Adjusted Model,12633,2022-10-27,-0.03883008,-0.137826367,-0.13848318,21,100
Market-Adjusted Model,12641,2022-10-27,0.1577446805,0.0519409409,0.0580915804,21,100
Market-Adjusted Model,12644,2022-10-27,-0.041375415,-0.133346666,-0.141028515,21,100
Market-Adjusted Model,12646,2022-10-27,0.1262604621,0.0256400401,0.026607362,21,100
Market-Adjusted Model,12647,2022-10-27,0.186976386,0.0776670281,0.0873232858,21,100
Market-Adjusted Model,12648,2022-10-27,0.0409860747,-0.054623818,-0.058667025,21,100
Market-Adjusted Model,12649,2022-10-27,-0.018993343,-0.10827992,-0.118646443,21,100
Market-Adjusted Model,12651,2022-10-27,-0.003910699,-0.09222925,-0.103563799,21,100
Market-Adjusted Model,12652,2022-10-27,0.0986522631,-0.00136379,-0.001000837,21,100
Market-Adjusted Model,12654,2022-10-27,0.1315914733,0.0281749169,0.0319383731,21,100
Market-Adjusted Model,12655,2022-10-27,0.0904685134,-0.009250078,-0.009184587,21,100
Market-Adjusted Model,12656,2022-10-27,0.0895224343,-0.009013951,-0.010130666,21,100
Market-Adjusted Model,12657,2022-10-27,0.1277922128,0.0266848475,0.0281391127,21,100
Market-Adjusted Model,12658,2022-10-27,0.0781537309,-0.019203614,-0.021499369,21,100
Market-Adjusted Model,12659,2022-10-27,0.1336601348,0.0318820699,0.0340070346,21,100
Market-Adjusted Model,12662,2022-10-27,0.0673684551,-0.031569194,-0.032284645,21,100
Market-Adjusted Model,12666,2022-10-27,0.004234442,-0.095002008,-0.095418658,21,100
Market-Adjusted Model,12672,2022-10-27,-0.007988935,-0.106671286,-0.107642035,21,100
Market-Adjusted Model,12673,2022-10-27,0.0727795514,-0.024802143,-0.026873549,21,100
Market-Adjusted Model,12675,2022-10-27,0.0262240712,-0.072715844,-0.073429029,21,100
Market-Adjusted Model,12676,2022-10-27,0.0004942058,-0.09833954,-0.099158894,21,100
Market-Adjusted Model,12680,2022-10-27,0.054437051,-0.038047839,-0.045216049,21,100
Market-Adjusted Model,12681,2022-10-27,0.221220402,0.109519439,0.1215673019,21,100
Market-Adjusted Model,12684,2022-10-27,-0.053793084,-0.148436145,-0.153446184,21,100
